89:90:6b:cb:e9:fc,-82,37,344904,31,1eff4c00121900e6c64d1db88171c27d3ec6ef5d1c70252ba08977accd0000,
19:8e:1c:d0:97:55,-62,37,344905,17,02011a020a0c0aff4c0010057d1c23050e,
7d:98:5e:48:ea:8c,-89,37,345006,28,1bff750042040180668cea485e987d8eea485e987c015a1d48d89f00,
05:7e:a5:3d:b1:70,-68,37,345086,28,1bff7500420401806670b13da57e0572b13da57e04015a07c0000000,
78:b3:d5:36:f8:5d,-74,37,345226,31,0201021bff7500021861b1cf4b8ead8f794eebbfca56abe7deb7a22cd1d59a,
05:7e:a5:3d:b1:70,-72,37,345226,28,1bff7500420401806670b13da57e0572b13da57e04015a07c0000000,
30:48:94:04:59:75,-65,37,345236,17,02011a020a0c0aff4c001005011c3409e8,
fc:f8:6a:78:eb:4f,-70,37,345237,18,02011a020a080bff4c001006301ef1775665,
bc:bc:3e:67:91:53,-78,37,345326,17,02011a0aff4c00100523189319fd020a00,
91:47:47:b0:b6:61,-60,37,345400,17,02011a0dff4c0016080066a2b054fded7a,
05:7e:a5:3d:b1:70,-61,37,345400,28,1bff7500420401806670b13da57e0572b13da57e04015a07c0000000,
bc:bc:3e:67:91:53,-75,37,345486,17,02011a0aff4c00100523189319fd020a00,
05:7e:a5:3d:b1:70,-67,37,345566,28,1bff7500420401806670b13da57e0572b13da57e04015a07c0000000,
7d:98:5e:48:ea:8c,-92,37,345636,28,1bff750042040180668cea485e987d8eea485e987c015a1d48d89f00,
8b:ed:a5:3d:b1:70,-89,37,345636,28,1bff7500420401806670b13da5ed8b72b13da5ed8a01000000000000,
05:7e:a5:3d:b1:70,-72,37,345726,28,1bff7500420401806670b13da57e0572b13da57e04015a07c0000000,
30:48:94:04:59:75,-63,37,345774,17,02011a020a0c0aff4c001005011c3409e8,
78:b3:d5:36:f8:5d,-72,37,345775,31,0201021bff7500021861b1cf4b8ead8f794eebbfca56abe7deb7a22cd1d59a,
fc:f8:6a:78:eb:4f,-65,37,345806,18,02011a020a080bff4c001006301ef1775665,
bc:bc:3e:67:91:53,-72,37,345880,17,02011a0aff4c00100523189319fd020a00,
05:7e:a5:3d:b1:70,-62,37,345880,28,1bff7500420401806670b13da57e0572b13da57e04015a07c0000000,
7d:98:5e:48:ea:8c,-89,37,345955,28,1bff750042040180668cea485e987d8eea485e987c015a1d48d89f00,
02:78:f2:39:22:59,-86,37,345956,31,020102030369fd171669fd101a8f83dd04908bfdc4a2877852001dea5bc57a,
19:8e:1c:d0:97:55,-61,37,346039,17,02011a020a0c0aff4c0010057d1c23050e,
30:48:94:04:59:75,-63,37,346040,17,02011a020a0c0aff4c001005011c3409e8,
bc:bc:3e:67:91:53,-77,37,346044,17,02011a0aff4c00100523189319fd020a00,
be:73:f7:bc:b2:ea,-63,37,346044,8,07ff4c0012020002,
8b:ed:a5:3d:b1:70,-88,37,346126,28,1bff7500420401806670b13da5ed8b72b13da5ed8a01000000000000,
fc:f8:6a:78:eb:4f,-64,37,346341,18,02011a020a080bff4c001006301ef1775665,
